"","HHID","PIDLINK","mudah.bergaul","kesehatan","status.ekonomi","ketaatan","jenis.kelamin","usia","status.perkawinan","pekerjaan","pendidikan","daerah","use.internet","partisipasi.masy"
"23667","2521752","252170005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"23693","2522341","252230007","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Sangat taat","Laki-laki",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"23697","2522451","252240005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",29,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"23710","2522700","252270003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"23716","2522831","252280003","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",29,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"23728","2523041","252300003","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",29,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"23753","2530941","253090003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"23785","2531642","253161110","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",25,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"23808","2540142","254010004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"23813","2540200","254020005","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Sangat taat","Laki-laki",25,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"23841","2541251","254120003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",23,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"23842","2541252","254120004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",16,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"23849","2541600","254160004","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",27,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"23850","2541651","254160005","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Agak taat","Perempuan",25,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"23851","2541651","254160007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",25,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"23859","2541942","254190006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"23860","2541900","254190008","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",19,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"23885","2550600","255060006","Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"23893","2550811","255080003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"23901","2551251","255120003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"23913","2551700","255170003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"23916","2551842","255180004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"23918","2551842","255180006","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",21,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
