"","HHID","PIDLINK","mudah.bergaul","kesehatan","status.ekonomi","ketaatan","jenis.kelamin","usia","status.perkawinan","pekerjaan","pendidikan","daerah","use.internet","partisipasi.masy"
"12","0012200","001220006","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",22,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"21","0012400","001240007","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",18,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"32","0012500","001250008","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",26,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"42","0020100","002010005","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",19,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"52","0020400","002040004","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Sangat taat","Perempuan",18,"Belum Kawin","Tidak","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Ya"
"68","0021800","002180006","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",19,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"69","0021841","002180007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"90","0022500","002250005","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",19,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"94","0022600","002260005","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Tidak taat","Perempuan",24,"Belum Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"114","0030200","003020003","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Agak taat","Laki-laki",22,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"139","0030500","003050007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",19,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"160","0031042","003104201","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"191","0031741","003174102","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",28,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"195","0031851","003180005","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",22,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"197","0031800","003180007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"210","0032051","003200004","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",28,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"212","0032000","003200007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",19,"Belum Kawin","Tidak","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"223","0032400","003240010","Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",16,"Belum Kawin","Tidak","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"248","0032800","003280005","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",17,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"259","0040241","004020005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",20,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"267","0040321","004030008","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",17,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"283","0040652","004060004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"289","0040700","004070007","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"291","0040743","004070009","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",20,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"302","0041052","004100008","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",21,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"310","0041042","004104202","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"317","0041321","004130003","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"321","0041321","004132102","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"323","0041451","004140005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"325","0041453","004140007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"326","0041451","004140011","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",17,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"334","0041652","004160004","Tidak Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",17,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"347","0042200","004220004","Sangat Mudah Bergaul","Tidak Sehat","Rendah","Agak taat","Perempuan",27,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"357","0042400","004240006","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",21,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"358","0042422","004242202","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",30,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"372","0042800","004280004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Sangat taat","Perempuan",26,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"385","0050341","005030002","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",20,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"389","0050441","005040004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"398","0050641","005060004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"400","0050641","005064101","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",29,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"417","0051041","005104101","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",21,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"423","0051111","005111102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"430","0051312","005131203","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",27,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"437","0051442","005140006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",23,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"438","0051451","005140007","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",21,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"439","0051441","005144101","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"446","0051641","005160003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Perempuan",25,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"462","0051852","005180005","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",22,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"468","0052051","005200003","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",23,"Belum Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"475","0060151","006010003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",18,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"481","0060341","006030003","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"486","0060341","006034102","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"491","0060411","006040004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"497","0060441","006044101","Sangat Mudah Bergaul","Sehat","Rendah","Tidak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"511","0060842","006080004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",22,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"512","0060800","006080005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"519","0060942","006090005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",18,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"520","0060941","006094101","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",24,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"527","0061052","006100005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",21,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"532","0061141","006110005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",24,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"555","0061441","006144101","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"562","0061741","006170003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",30,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"566","0061741","006174102","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",27,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"568","0061800","006180003","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",28,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"571","0061951","006190004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",22,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"585","0070141","007014102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"644","0071852","007180004","Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"645","0071800","007180005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Belum Kawin","Tidak","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"653","0072000","007200003","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Taat","Perempuan",26,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"661","0072300","007230004","Sangat Mudah Bergaul","Tidak Sehat","Rendah","Agak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"675","0072541","007250008","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",17,"Belum Kawin","Ya","Di bawah SMA","Kota","Menggunakan Internet","Ya"
"683","0072641","007260005","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",17,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"692","0080142","008010004","Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",20,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"693","0080151","008010005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",16,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"700","0080241","008020004","Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"707","0080300","008030004","Tidak Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",16,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"711","0080331","008033103","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Agak taat","Perempuan",20,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"717","0080441","008040005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",25,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"725","0080500","008050003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",21,"Belum Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Ya"
"738","0080831","008080003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Perempuan",27,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"747","0080941","008090005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"749","0080951","008090007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",19,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"750","0080952","008090008","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",16,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"751","0080941","008094102","Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"752","0080942","008094202","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",22,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"777","0081300","008130004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",18,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"786","0081442","008144201","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Laki-laki",27,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"791","0081551","008150005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",21,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"792","0081500","008150006","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",17,"Kawin","Tidak","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"796","0081541","008153201","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"824","0082200","008220003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",22,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"835","0082441","008240006","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Taat","Perempuan",23,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"836","0082451","008240007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"873","0082900","008290009","Sangat Mudah Bergaul","Sehat","Rendah","Tidak taat","Laki-laki",17,"Belum Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Ya"
"879","0082942","008294202","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"884","0083051","008300004","Sangat Mudah Bergaul","Sehat","Rendah","Tidak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"885","0083042","008300005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"888","0083051","008304104","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Tidak taat","Perempuan",21,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"889","0083042","008304202","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"912","0090551","009050006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"913","0090552","009050007","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Taat","Perempuan",20,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"921","0090641","009060002","Mudah Bergaul","Kurang Sehat","Rendah","Agak taat","Perempuan",25,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"932","0090741","009074102","Mudah Bergaul","Kurang Sehat","Sedang","Taat","Perempuan",19,"Kawin","Tidak","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"935","0090800","009080007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",17,"Belum Kawin","Tidak","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"944","0091100","009110005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",26,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"947","0091100","009110010","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",18,"Belum Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"950","0091241","009120003","Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",17,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"998","0092151","009210003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1003","0092141","009214101","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",27,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1014","0092341","009230003","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Tidak taat","Perempuan",20,"Kawin","Tidak","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"1017","0092300","009230006","Mudah Bergaul","Sehat","Sedang","Tidak taat","Perempuan",16,"Belum Kawin","Tidak","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"1030","0092942","009290004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"1031","0092941","009294102","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Taat","Perempuan",30,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1096","0102141","010210006","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Perempuan",23,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1111","0102511","010251104","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Taat","Perempuan",24,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"1118","0102600","010260013","Sangat Mudah Bergaul","Tidak Sehat","Sedang","Agak taat","Laki-laki",16,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"1145","0104152","010410004","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Agak taat","Laki-laki",26,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"1156","0104343","010430008","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",24,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1168","0104451","010440006","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Taat","Perempuan",17,"Kawin","Tidak","Di bawah SMA","Kota","Menggunakan Internet","Tidak"
"1187","0110141","011010003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"1217","0110900","011090002","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",17,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"1221","0111000","011100005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",25,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"1244","0111500","011150004","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1255","0111741","011170005","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1256","0111742","011170006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",26,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1260","0111742","011174201","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"1286","0112653","011260008","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1290","0112741","011270003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Tidak","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1310","0120442","012040004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1311","0120451","012040005","Tidak Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1312","0120443","012040006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",18,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1314","0120441","012044102","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",27,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1315","0120443","012044302","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",17,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1330","0120741","012070003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Ya"
"1331","0120742","012070004","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Perempuan",25,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1334","0120741","012074101","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",30,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1335","0120742","012074201","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",27,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"1350","0121241","012120003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1351","0121251","012120004","Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",23,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"1352","0121241","012124101","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"1361","0121400","012140007","Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",28,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"1388","0121851","012180004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",28,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1389","0121800","012180005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",22,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1394","0121941","012190004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"1413","0130252","013020005","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",20,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1415","0130241","013024102","Mudah Bergaul","Sehat","Tinggi","Taat","Perempuan",20,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1422","0130541","013050004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1427","0130541","013054101","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"1430","0130651","013060003","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Tidak taat","Perempuan",17,"Kawin","Tidak","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
